bank_id,year,net_fee_margin,digital_payment_pressure,capital_adequacy,size,credit_risk,interest_expense_ratio,deposit_ratio
BANK_01,2018,0.013931913572892165,20.28868554024593,0.06103673650400934,8.555830868404348,0.013914884222784646,0.02383181005912255,0.637522026872393
BANK_01,2019,0.014543849623241472,21.478807637354794,0.07774091138836786,8.528802712800365,0.01354411561732131,0.02474348825746327,0.6465809374725655
BANK_01,2020,0.015545755222719455,22.863177926577315,0.07596249735343723,8.521930407208258,0.011608551620577409,0.019502295297293106,0.6309088512146718
BANK_01,2021,0.01289494368311524,25.121260673500064,0.07851267189763676,8.52567346512685,0.01747383091474631,0.02214724531252685,0.7039282725373639
BANK_01,2022,0.015646970119746972,27.409973147288447,0.06830470480487613,8.554058327380167,0.014501768990154755,0.029550867138620273,0.6145786738177802
BANK_01,2023,0.013948690578893554,28.377184004204604,0.07542614688848058,8.520261483175949,0.01463015451740612,0.025817680861621506,0.624880515959576
BANK_02,2018,0.025618371789150503,20.712735092854757,0.08719727936428393,8.767339525708513,0.009552411154093018,0.03523783119362339,0.7760363253415941
BANK_02,2019,0.023378268040363543,22.7925278378663,0.07336178045109677,8.719779425112808,0.010671923552689476,0.024913396840840436,0.6383826729044104
BANK_02,2020,0.021779426481304688,25.14569325853207,0.07444415942133506,8.640583846654788,0.008991130344751568,0.021126890691128483,0.5927558806481458
BANK_02,2021,0.022324859674619786,26.951918739817344,0.07406688031761002,8.690284306315455,0.008349318101732658,0.025678602319601777,0.5803687420588179
BANK_02,2022,0.025313272662991347,29.90544671255391,0.07417030309023212,8.724799055415655,0.013365162375363608,0.02438805689110105,0.6239157271478021
BANK_02,2023,0.022845002032079943,28.787139848716546,0.09527424478271748,8.651236838800225,0.012172016962173614,0.026861996507161853,0.6649264069211274
BANK_03,2018,0.012462930225166261,19.764823743960633,0.07146300690675755,8.8870930043552,0.013764057544076395,0.017171662183286966,0.5777898371490665
BANK_03,2019,0.012499232875282755,21.940711436175683,0.10033172530038806,8.844705741981283,0.012751951649648922,0.020747553180321513,0.6081265513630529
BANK_03,2020,0.016107003286106147,23.565986902730874,0.08947216682822663,8.845731427182834,0.01618935925993873,0.025791419411094287,0.6485435004974713
BANK_03,2021,0.015598238682548431,25.9848530837387,0.09147806370547824,8.827921829422397,0.005135852523489028,0.025458986794726978,0.6255329937871169
BANK_03,2022,0.014197403080555972,29.197160026446902,0.06897158194907635,8.89059189346619,0.014837602633225557,0.02684294495564619,0.6947403263668391
BANK_03,2023,0.01574328392195769,28.182188354315787,0.09038982798561154,8.888812000874314,0.016171134426457782,0.02584915831124599,0.7149425247828255
BANK_04,2018,0.014389080818229117,17.555492962980296,0.06898598709915872,9.072740140243498,0.007605213935904371,0.023190542991222314,0.7342633583136712
BANK_04,2019,0.012928985918178218,23.949181468577855,0.07008437812537201,8.941601001131346,0.016549142811304658,0.01933222985023929,0.6536369415712958
BANK_04,2020,0.01247486930580264,22.46132430516283,0.0955263306525181,9.101973501170926,0.013654332522660517,0.024882037360659512,0.6576574733174158
BANK_04,2021,0.010335441739885948,25.1131234908045,0.0789506685345965,9.005910685955675,0.014547644603209536,0.019294074421521486,0.6318632409478788
